Agent,time_step,reward,total_throughput_mbps,avg_ue_throughput_mbps,num_satisfied_ues,percentage_satisfied_ues,handovers_this_step,total_handovers_cumulative,avg_bs_load_factor,ue_details,num_connected_ues,sinr_min_db,sinr_max_db,sinr_avg_db,rbs_avg_per_ue,rsrp_avg_dbm,actual_num_ues,epsilon
Baseline,0.0,0.85325,42.73695071930509,4.27369507193051,9.333333333333334,93.33333333333333,0.0,0.0,0.6666666666666666,[],10.0,34.25465565770464,83.64489699558328,61.74853501896475,1.0,-81.92107086459319,10.0,1.0
Baseline,1.0,0.88125,40.85865182252537,4.085865182252537,10.0,100.0,0.0,0.0,0.6666666666666666,[],10.0,38.19237722310594,78.6207900486251,59.69509366428099,1.0,-83.81852056020774,10.0,1.0
Baseline,2.0,0.86325,40.88229424563449,4.0882294245634485,9.666666666666666,96.66666666666667,0.0,0.0,0.6666666666666666,[],10.0,40.05045021726405,84.28526285048663,59.92425018701593,1.0,-83.38304800514852,10.0,1.0
Baseline,3.0,0.88125,42.78427500171475,4.2784275001714756,10.0,100.0,0.0,0.0,0.6666666666666666,[],10.0,43.63127102196798,79.36869966465413,61.39477375221336,1.0,-83.77669220926565,10.0,1.0
Baseline,4.0,0.87125,41.708300397399945,4.170830039739994,9.666666666666666,96.66666666666667,0.0,0.0,0.6666666666666666,[],10.0,38.96557423386961,84.71791596453436,62.01349428350176,1.0,-84.05528196735202,10.0,1.0
Baseline,5.0,0.88125,40.9561864025568,4.095618640255681,10.0,100.0,0.0,0.0,0.6666666666666666,[],10.0,40.26927352134822,83.69328643386098,60.5345223879822,1.0,-83.44577055228555,10.0,1.0
Baseline,6.0,0.8779166666666667,44.743180265629725,4.4743180265629725,10.0,100.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,[],10.0,47.73258754324388,82.395732037859,62.89048396511422,1.0,-83.2451804072499,10.0,1.0
Baseline,7.0,0.8745833333333333,44.6883539582682,4.46883539582682,10.0,100.0,0.6666666666666666,1.0,0.6666666666666666,[],10.0,44.942332061056675,81.90471075849725,62.887926515372925,1.0,-82.6771689944753,10.0,1.0
Baseline,8.0,0.88125,42.22147472676671,4.222147472676671,10.0,100.0,0.0,1.0,0.6666666666666666,[],10.0,41.2170280339393,84.49197370624161,61.496402827990295,1.0,-83.93677887875201,10.0,1.0
Baseline,9.0,0.88125,43.758286364791246,4.375828636479124,10.0,100.0,0.0,1.0,0.6666666666666666,[],10.0,45.73706301490134,78.4769896480431,61.366982768385895,1.0,-83.82197451856835,10.0,1.0
Baseline,10.0,0.88125,41.72787510626657,4.172787510626658,10.0,100.0,0.0,1.0,0.6666666666666666,[],10.0,40.852554800248534,83.41080369999337,60.277179535877714,1.0,-82.48866066743567,10.0,1.0
Baseline,11.0,0.88125,42.53321000367077,4.253321000367077,10.0,100.0,0.0,1.0,0.6666666666666666,[],10.0,41.8378806055913,80.63817809323612,60.91243583228928,1.0,-83.26401418145547,10.0,1.0
Baseline,12.0,0.88125,43.551282618070864,4.355128261807086,10.0,100.0,0.0,1.0,0.6666666666666666,[],10.0,45.94450321841398,82.60724346999952,63.16286385497981,1.0,-82.31250615777306,10.0,1.0
Baseline,13.0,0.87125,42.57683087261052,4.257683087261052,9.666666666666666,96.66666666666667,0.0,1.0,0.6666666666666666,[],10.0,39.528187614371184,83.62780035829891,61.75349558624643,1.0,-84.02421202055793,10.0,1.0
Baseline,14.0,0.8645833333333334,44.27752495855983,4.427752495855983,9.666666666666666,96.66666666666667,0.6666666666666666,1.6666666666666667,0.6666666666666666,[],10.0,37.24620852236715,83.05756466542918,63.715853276181925,1.0,-82.60523585488579,10.0,1.0
Baseline,15.0,0.88125,45.76610817449673,4.576610817449674,10.0,100.0,0.0,1.6666666666666667,0.6666666666666666,[],10.0,47.19902095696489,87.5824074546493,64.51852486501444,1.0,-82.82626934717207,10.0,1.0
Baseline,16.0,0.87125,41.91120962112044,4.191120962112044,9.666666666666666,96.66666666666667,0.0,1.6666666666666667,0.6666666666666666,[],10.0,35.868536088105316,79.17293339854324,60.1936208396804,1.0,-83.07919241308183,10.0,1.0
